Time Step,Simulated Decay,Theoretical Decay
0,1000,1000.0
1,1000,999.8093836315012
2,999,999.6188035976022
3,998,999.4282598913773
4,997,999.2377525059018
5,997,999.0472814342521
6,997,998.8568466695065
7,997,998.6664482047441
8,997,998.4760860330457
9,997,998.2857601474932
10,995,998.0954705411698
11,994,997.90521720716
12,993,997.71500013855
13,993,997.5248193284267
14,993,997.3346747698789
15,993,997.1445664559963
16,993,996.9544943798701
17,993,996.7644585345928
18,993,996.5744589132582
19,992,996.3844955089614
20,992,996.194568314799
21,992,996.0046773238686
22,992,995.8148225292692
23,991,995.6250039241014
24,991,995.4352215014668
25,990,995.2454752544683
26,990,995.0557651762105
27,990,994.8660912597986
28,990,994.6764534983402
29,990,994.4868518849429
30,990,994.2972864127167
31,990,994.1077570747725
32,990,993.9182638642225
33,990,993.7288067741799
34,990,993.53938579776
35,990,993.3500009280787
36,990,993.1606521582535
37,990,992.971339481403
38,990,992.7820628906477
39,990,992.5928223791087
40,990,992.4036179399087
41,990,992.214449566172
42,990,992.0253172510236
43,990,991.8362209875903
44,990,991.647160769
45,990,991.458136588382
46,990,991.269148438867
47,990,991.0801963135866
48,990,990.8912802056742
49,990,990.7024001082642
50,990,990.5135560144925
51,990,990.3247479174961
52,989,990.1359758104136
53,989,989.9472396863846
54,988,989.75853953855
55,987,989.5698753600525
56,986,989.3812471440356
57,986,989.1926548836441
58,986,989.0040985720244
59,985,988.8155782023241
60,984,988.6270937676921
61,983,988.4386452612786
62,983,988.250232676235
63,983,988.061856005714
64,983,987.87351524287
65,983,987.6852103808583
66,983,987.4969414128356
67,983,987.3087083319596
68,983,987.1205111313901
69,982,986.9323498042876
70,982,986.7442243438138
71,982,986.5561347431322
72,982,986.3680809954071
73,982,986.1800630938047
74,982,985.9920810314918
75,982,985.804134801637
76,982,985.61622439741
77,982,985.4283498119818
78,982,985.2405110385248
79,982,985.0527080702127
80,981,984.8649409002204
81,981,984.6772095217242
82,981,984.4895139279016
83,981,984.3018541119314
84,981,984.114230066994
85,981,983.9266417862706
86,980,983.739089262944
87,980,983.5515724901983
88,980,983.364091461219
89,980,983.1766461691924
90,980,982.9892366073069
91,980,982.8018627687512
92,980,982.6145246467164
93,980,982.4272222343941
94,980,982.2399555249773
95,980,982.0527245116607
96,979,981.8655291876399
97,979,981.678369546112
98,979,981.4912455802752
99,979,981.3041572833293
100,979,981.1171046484751
101,977,980.930087668915
102,977,980.7431063378522
103,977,980.5561606484919
104,976,980.36925059404
105,976,980.1823761677036
106,976,979.9955373626921
107,976,979.8087341722149
108,976,979.6219665894836
